id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
34425,0,2013/3/14,Ministry Of Water,1214,DWE,36.95293382,-2.96775688,Kwa Lesini,0,Internal,Madukani,Arusha,2,6,Longido,Tingatinga,500,TRUE,GeoData Consultants Ltd,VWC,Tingatinga Ngerayani water,TRUE,1978,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,cattle trough,cattle trough,0
63924,100,2013/2/1,Norad,861,DWE,29.78375309,-4.98756544,Shule Ya Msingi Kaseke,0,Lake Tanganyika,Mwamko,Kigoma,16,3,Kigoma Urban,Kitongoni,400,TRUE,GeoData Consultants Ltd,VWC,Kaseke water project,TRUE,1987,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,1
34739,0,2011/3/6,Village Government,284,Local technical tec,38.5854856,-5.20274668,Misufini,0,Pangani,Misufini,Tanga,4,2,Korogwe,Mnyuzi,70,TRUE,GeoData Consultants Ltd,VWC,Mnyuzi water supplly,FALSE,2006,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,0
35520,0,2013/12/3,Undp,1679,UNDP,37.32554165,-2.8636788,Zahanati,0,Internal,Mkulima,Arusha,2,6,Longido,Olmolog,50,TRUE,GeoData Consultants Ltd,Parastatal,,FALSE,2007,gravity,gravity,gravity,parastatal,parastatal,pay when scheme fails,on failure,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,0
65887,200,2011/3/17,Solidame,218,Msabi,36.67616372,-8.12946992,Mianzini,0,Rufiji,Mangwale,Morogoro,5,3,Kilombero,Ifakara,500,TRUE,GeoData Consultants Ltd,,,TRUE,2003,other - rope pump,rope pump,rope pump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,1
32924,0,2011/4/1,Dhv,348,DWE,37.80469473,-7.269727,Kwa Mzee Nasoro Anaclet,0,Wami / Ruvu,Salali,Morogoro,5,2,Morogoro Rural,Kolero,250,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1997,swn 80,swn 80,handpump,vwc,user-group,pay when scheme fails,on failure,unknown,unknown,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,0
40725,0,2013/2/16,Tasaf,0,TASAF,0,-2.00E-08,Majengo Mapya,0,Lake Victoria,Majengo,Shinyanga,17,1,Bariadi,Nyakabindi,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay annually,annually,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,1
34065,0,2011/3/17,Plan Int,317,Hydrotec,36.64025559,-8.07105894,Kwamlagili,0,Rufiji,Makero Chini,Morogoro,5,3,Kilombero,Lumemo,250,TRUE,GeoData Consultants Ltd,,,TRUE,2000,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,0
33772,0,2011/7/24,Government Of Tanzania,0,DWE,33.43566273,-2.59146252,Shuleni Nyalikungu P/S,0,Lake Victoria,Dibanja,Mwanza,19,2,Magu,Magu Urban,0,TRUE,GeoData Consultants Ltd,Parastatal,,TRUE,0,other,other,other,parastatal,parastatal,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0
33598,0,2011/2/18,Idydc,1785,IDYDC,35.72071758,-8.09214911,none,0,Rufiji,Luganda,Iringa,11,7,Kilolo,Ukumbi,100,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2010,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,0
27886,600,2013/1/25,Isf,994,DWE,29.73493982,-4.81168075,Tulibona,0,Lake Tanganyika,Samilo,Kigoma,16,3,Kigoma Rural,Mahembe,433,TRUE,GeoData Consultants Ltd,WUG,Mkongoro Two,TRUE,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,1
36004,500,2011/2/24,Danida,1598,Danid,34.46011877,-9.79007573,none,1,Lake Nyasa,Lupande Kati,Iringa,11,5,Ludewa,Mawengi,20,TRUE,GeoData Consultants Ltd,VWC,Jongoo,FALSE,1995,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0
33943,200,2013/6/3,Unicef,846,Government,34.91863762,-10.55023753,Kwa Mzee Ngomati,0,Lake Nyasa,Senta 'A',Ruvuma,10,3,Mbinga,Ruanda,96,TRUE,GeoData Consultants Ltd,VWC,Government,TRUE,1994,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0
34182,0,2011/7/27,Hesawa,0,Government,33.1346621,-2.5805071,Kwa Thobius,0,Lake Victoria,Mwadubi,Mwanza,19,2,Magu,Kisesa,0,TRUE,GeoData Consultants Ltd,VWC,None,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0
34113,0,2013/1/29,,1591,,34.83942741,-4.9748399,Kisimani,0,Internal,Unyang'Ongo,Singida,13,2,Singida Rural,Munga'a,1,TRUE,GeoData Consultants Ltd,VWC,,,1990,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,other,other,0
35197,0,2013/2/25,Hesawa,1455,HESAWA,34.6180617,-1.71769066,Nyaikongoro Kiratu,0,Lake Victoria,Senta Ndogo,Mara,20,2,Serengeti,Rung'bure,660,,GeoData Consultants Ltd,Other,,TRUE,1995,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,0
36633,50,2011/4/13,Dh,0,DH,37.12785101,-6.17801182,Kwa Masha,0,Wami / Ruvu,Msalama,Morogoro,5,1,Kilosa,Berega,365,TRUE,GeoData Consultants Ltd,VWC,Be,TRUE,1984,ksb,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,0
66791,0,2013/3/21,,1422,,36.29458738,-3.4010952,Nanja Secondary School 2,0,Internal,Nanja,Arusha,2,1,Monduli,Sepeko,1,FALSE,GeoData Consultants Ltd,Parastatal,,,2000,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,1
36027,0,2013/3/1,World Bank,1666,World bank,35.03739827,-4.26733806,Salme,0,Internal,Zabastanji,Manyara,21,2,Hanang,Bassodesh,259,TRUE,GeoData Consultants Ltd,VWC,Kijiji,FALSE,2011,other - play pump,other handpump,handpump,vwc,user-group,never pay,never pay,salty,salty,dry,dry,rainwater harvesting,rainwater harvesting,surface,hand pump,hand pump,0
70618,0,2011/8/2,Kkkt,0,KKKT,32.86246042,-8.92183595,Mbugani 2,0,Lake Rukwa,Chilesya,Mbeya,12,6,Mbozi,Halungu,0,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,1
24082,0,2013/1/29,Tasaf,0,DWE,0,-2.00E-08,Igunabaruhi,0,Lake Victoria,Mwanungu,Shinyanga,17,1,Bariadi,Lagangabilili,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,1
33975,50,2013/3/22,0,7,0,39.18808223,-6.9284305,Kwa Mau,0,Wami / Ruvu,Mtaa Wa Kivule,Dar es Salaam,7,2,Ilala,Msongola,100,,GeoData Consultants Ltd,Private operator,,FALSE,2010,submersible,submersible,submersible,private operator,commercial,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,0
34408,0,2012/10/29,Government Of Tanzania,0,DWE,32.86159648,-3.94251934,Godown,0,Internal,Nsene,Tabora,14,1,Nzega,Igusule,0,FALSE,GeoData Consultants Ltd,VWC,,TRUE,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,0
71125,1000,2013/2/27,Danida,921,DWE,35.31439884,-10.75701296,Kwa Gabriel,0,Ruvuma / Southern Coast,Misri,Ruvuma,10,2,Songea Rural,Magagura,0,TRUE,GeoData Consultants Ltd,VWC,Mradi wa maji wa mbinga mh,TRUE,1986,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,1
32881,0,2013/2/16,Government Of Tanzania,1,DWE,39.20096912,-8.39019412,Kwalikongine,0,Rufiji,Kinjumbi A,Lindi,80,13,Kilwa,Kinjumbi,352,TRUE,GeoData Consultants Ltd,,,TRUE,1995,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,0
37010,0,2011/7/11,Dasip,0,DWE,31.31377383,-2.71227158,Kwa Mzee Balenga,0,Lake Tanganyika,Butungo,Kagera,18,4,Biharamulo,Nyarubungo,0,TRUE,GeoData Consultants Ltd,VWC,Rwenganza Water Supply,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0
39888,0,2013/4/4,Government Of Tanzania,1537,RWE,37.28550021,-3.20328901,Kwa Andrea Makoyi,0,Pangani,Mkomilo,Kilimanjaro,3,4,Moshi Rural,Kibosho Magharibi,50,FALSE,GeoData Consultants Ltd,VWC,Otaruni water supply,TRUE,1976,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,1
57036,0,2013/1/20,Government Of Tanzania,1391,DWE,30.28758768,-4.4514775,Tenkini,0,Lake Tanganyika,Katonga B,Kigoma,16,2,Kasulu,Nyakitonto,2700,TRUE,GeoData Consultants Ltd,Water authority,Janda,TRUE,2006,gravity,gravity,gravity,water board,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,1
36822,250,2013/1/19,Tasaf,1106,TASAF,30.60022498,-4.49311798,Kwa Kaboboye,0,Lake Tanganyika,Katahokwa,Kigoma,16,2,Kasulu,Kagera Nkanda,1250,TRUE,GeoData Consultants Ltd,Water authority,,FALSE,2007,nira/tanira,nira/tanira,handpump,vwc,user-group,pay monthly,monthly,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,0
33558,0,2011/3/17,Roman,1990,DWE,34.71565938,-9.71976628,none,0,Lake Nyasa,Lubindi,Iringa,11,5,Ludewa,Madilu,107,TRUE,GeoData Consultants Ltd,VWC,Roman,FALSE,2000,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0
33464,0,2012/10/15,Rwssp,0,WEDECO,34.18206021,-3.02924163,Juhudi,0,Lake Victoria,Hash Ntobo,Shinyanga,17,6,Meatu,Kisesa,0,TRUE,GeoData Consultants Ltd,WUG,None,TRUE,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,0
55371,0,2011/3/28,Ki,1317,Ki,36.84275965,-6.1905432,Shuleni,0,Wami / Ruvu,Kichangani A,Morogoro,5,1,Kilosa,Gairo,230,TRUE,GeoData Consultants Ltd,VWC,Lu,TRUE,2006,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,1
50048,0,2011/8/3,,0,,33.62802938,-9.36235068,Kwa Mzee Amlike,0,Lake Nyasa,Ndubi,Mbeya,12,4,Rungwe,Kisondela,0,TRUE,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,1
35129,0,2013/3/22,Ms,2007,DWE,36.73053097,-3.15127179,Engedeko,0,Internal,Engedeko,Arusha,2,2,Arusha Rural,Oldonyosambu,150,TRUE,GeoData Consultants Ltd,VWC,Losinoni maji salama,TRUE,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,0
35631,0,2011/7/13,,0,,33.82807175,-9.16147065,Shule Ya Msingi Sanganilo,0,Lake Nyasa,Matamba Chini,Mbeya,12,4,Rungwe,Isange,0,TRUE,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,0
36726,0,2011/3/5,Dhv\norp,321,DHV,35.81212723,-8.77042496,Kwamwaduma,0,Rufiji,Songambele,Morogoro,5,3,Kilombero,Mlimba,200,TRUE,GeoData Consultants Ltd,VWC,Mlimba W,TRUE,1997,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,0
34264,20,2011/3/14,Wua,172,WU,38.35959751,-6.63442187,Kanisani,0,Wami / Ruvu,Karoleni,Pwani,6,1,Bagamoyo,Chalinze,50,TRUE,GeoData Consultants Ltd,WUA,Chalinze wate,TRUE,2009,ksb,submersible,submersible,wua,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,0
35583,0,2012/10/19,World Vision,0,World vision,33.78999606,-3.51121381,Tumaini C,0,Internal,Chamani,Shinyanga,17,2,Maswa,Budekwa,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,other,other,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,0
41042,600,2013/1/25,Isf,984,DWE,29.72844316,-4.8253934,Mlatutunduye,0,Lake Tanganyika,Kagulwe,Kigoma,16,3,Kigoma Rural,Mahembe,530,TRUE,GeoData Consultants Ltd,WUG,Mkongoro Two,TRUE,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,1
34736,0,2011/2/27,Dar Al Ber,10,The I,38.46006071,-7.85465878,Msikitini,0,Rufiji,Pangapanga,Pwani,60,53,Rufiji,Ngorongo,1,TRUE,GeoData Consultants Ltd,Private operator,,TRUE,2010,afridev,afridev,handpump,private operator,commercial,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,0
35860,0,2011/8/3,Kkkt,0,KKKT,32.80177764,-8.93863376,Mshane,0,Lake Rukwa,Nzije A,Mbeya,12,6,Mbozi,Halungu,0,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,0
36596,0,2013/1/24,Fini Water,66,Fini water,39.52472106,-10.03496212,Kwa Nyanga,0,Ruvuma / Southern Coast,Msikitini,Lindi,80,62,Lindi Rural,Tandangongoro,200,TRUE,GeoData Consultants Ltd,,,TRUE,1997,other,other,other,vwc,user-group,unknown,unknown,coloured,colored,enough,enough,machine dbh,borehole,groundwater,other,other,0
33330,50,2011/3/14,Private Individual,204,WU,38.35213217,-6.63509577,Yesaya Msangi,0,Wami / Ruvu,Karoleni,Pwani,6,1,Bagamoyo,Chalinze,30,FALSE,GeoData Consultants Ltd,WUA,Chalinze wate,TRUE,2006,ksb,submersible,submersible,private operator,commercial,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,0
55604,0,2012/10/17,Government Of Tanzania,0,Government,33.7935855,-3.11642775,Buyubi,0,Lake Victoria,Mwamashimba,Shinyanga,17,2,Maswa,Buchambi,0,TRUE,GeoData Consultants Ltd,Water authority,Maswa Water  supply program,FALSE,0,gravity,gravity,gravity,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,dam,dam,surface,communal standpipe multiple,communal standpipe,1
61766,0,2012/10/12,World Bank,0,WEDECO,33.39682644,-4.261128,Mwananderege,0,Internal,Luguru Ng'Ombe,Tabora,14,2,Igunga,Ziba,0,TRUE,GeoData Consultants Ltd,Water authority,World Bank,TRUE,0,afridev,afridev,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,1
35725,1000,2013/3/13,World Vision,1370,World Vision,37.91778862,-4.15543229,Kwa Enock,0,Pangani,Kisanzuni,Kilimanjaro,3,3,Same,Mshewa,30,TRUE,GeoData Consultants Ltd,Water authority,Tutu,TRUE,1995,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0
35365,0,2012/10/20,Dwsp,0,DWSP,33.1920583,-3.90316088,Kwa Mpaka Masika,0,Internal,Kisuge,Shinyanga,17,3,Shinyanga Rural,Tinde,0,TRUE,GeoData Consultants Ltd,WUG,,TRUE,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,0
73826,250,2013/2/11,Danida,1408,DANIDA,30.07295961,-4.31871775,Kwa Ntilio,0,Lake Tanganyika,Nyachole,Kigoma,16,2,Kasulu,Munyegera,650,TRUE,GeoData Consultants Ltd,Water authority,,TRUE,2006,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,1
33374,0,2011/8/10,Kkkt,0,KKKT,32.90780018,-8.81721746,Lukas Mgaya,0,Lake Rukwa,Iganya,Mbeya,12,6,Mbozi,Isansa,0,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,0
46189,600,2013/1/28,Isf,780,DWE,29.73238181,-4.90977381,Stesheni,0,Lake Tanganyika,Bondo,Kigoma,16,3,Kigoma Rural,Simbo,220,TRUE,GeoData Consultants Ltd,WUG,Mkongoro Two,TRUE,2009,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,1
35645,0,2011/3/18,Ded,-23,DW,38.86661004,-6.41804615,Shuleni,0,Wami / Ruvu,Mji Mpya,Pwani,6,1,Bagamoyo,Magomeni,663,TRUE,GeoData Consultants Ltd,Parastatal,,FALSE,2008,nira/tanira,nira/tanira,handpump,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,0
52246,0,2013/2/27,Rwssp,0,DWE,0,-2.00E-08,Mwigigilo,0,Lake Victoria,Guyuki,Shinyanga,17,1,Bariadi,Nkololo,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,1
33446,0,2013/2/23,Unicef,944,UNICEF,35.14206076,-10.75199522,Kwa Mzee Stomeni,0,Ruvuma / Southern Coast,Manzese,Ruvuma,10,3,Mbinga,Kigonsera,60,,GeoData Consultants Ltd,VWC,Government,TRUE,1977,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,0
23474,500,2013/3/25,Private Individual,1547,Individuals,34.85712779,-11.13650701,Kwa Mzee Ngowoko,55,Lake Nyasa,Mitawa,Ruvuma,10,3,Mbinga,Mikalanga,80,TRUE,GeoData Consultants Ltd,WUG,Government,TRUE,2002,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,1
42638,0,2012/10/13,World Bank,0,Atlas Company,33.36984865,-4.00874771,Kwa Jomo,0,Internal,Chamaleni,Tabora,14,2,Igunga,Choma,0,TRUE,GeoData Consultants Ltd,Water authority,World Bank,TRUE,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,1
34781,0,2013/3/15,,1208,,36.71896458,-3.45699093,Kalimaji Dukani,0,Pangani,Kalimaji,Arusha,2,3,Arusha Rural,Moshono,740,FALSE,GeoData Consultants Ltd,Water Board,W,,2000,gravity,gravity,gravity,water board,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0
58213,200,2011/3/1,Danida,274,RWE,37.76123702,-7.05177077,Kwa Maduka,0,Wami / Ruvu,Kiswila,Morogoro,5,2,Morogoro Rural,Kisemu,80,TRUE,GeoData Consultants Ltd,VWC,Mwan,TRUE,1972,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,1
59721,3000,2011/7/30,Rudep,893,DWE,31.39147818,-7.46419324,Kwa Kalasa Charahani,0,Lake Rukwa,Kifunda,Rukwa,15,1,Mpanda,Mamba,450,TRUE,GeoData Consultants Ltd,VWC,Kasansa,TRUE,1987,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,1
